iconst   : Iconst
iload   : Iload
istore   : Istore
fconst   : Fconst
fload   : Fload
fstore   : Fstore
iadd   : Iadd
isub   : Isub
imul   : Imul
idiv   : Idiv
fadd   : Fadd
fsub   : Fsub
fmul   : Fmul
fdiv   : Fdiv
intToFloat   : IntToFloat
icmpeq   : Icmpeq
icmpne   : Icmpne
icmplt   : Icmplt
icmple   : Icmple
icmpgt   : Icmpgt
icmpge   : Icmpge
fcmpeq   : Fcmpeq
fcmpne   : Fcmpne
fcmplt   : Fcmplt
fcmple   : Fcmple
fcmpgt   : Fcmpgt
fcmpge   : Fcmpge
goto   : Goto
invoke   : Invoke
return   : Return
ireturn   : Ireturn
freturn   : Freturn
print   : Print
